# jours_écoulés 	 nombreTotalContaminésGrippe 	 nombreTotalContaminésAgentPathogène() 	 temps pas 	 temps total
280	0	54215	0.016338	4.80256
281	0	54245	0.0164431	4.81919
282	0	54118	0.0227466	4.84246
283	0	54163	0.0164849	4.85914
284	0	54117	0.0192144	4.87856
285	0	54179	0.0197959	4.89859
286	0	54181	0.0159658	4.9148
287	0	54204	0.0165731	4.93186
288	0	54223	0.0229752	4.95507
289	0	54285	0.017483	4.97281
290	0	54261	0.0158429	4.98883
291	0	54315	0.0178816	5.00689
292	0	54348	0.0177874	5.02486
293	0	54266	0.0201696	5.04529
294	0	54245	0.0175717	5.06312
295	0	54192	0.0198496	5.08322
296	0	54192	0.0215115	5.10497
297	0	54202	0.0165661	5.1218
298	0	54270	0.0169884	5.13897
299	0	54373	0.021414	5.16062
300	0	54454	0.0235996	5.1845
301	0	54395	0.016869	5.20166
302	0	54427	0.0232315	5.22539
303	0	54400	0.0175329	5.24317
304	0	54506	0.0166218	5.25997
305	0	54434	0.0257523	5.28592
306	0	54482	0.0178908	5.30409
307	0	54459	0.0174312	5.32175
308	0	54493	0.0189976	5.34097
309	0	54487	0.0189384	5.36019
310	0	54435	0.0166744	5.37705
311	0	54386	0.01865	5.3959
312	0	54339	0.018117	5.41422
313	0	54402	0.0213324	5.43574
314	0	54395	0.02522	5.46136
315	0	54335	0.0192232	5.48083
316	0	54362	0.0198297	5.50085
317	0	54304	0.022566	5.5237
318	0	54351	0.0161044	5.54003
319	0	54390	0.0172232	5.55744
320	0	54400	0.0191058	5.57676
321	0	54397	0.015978	5.59294
